cluster	ensembl_gene_id	counts	genes_num	genes_names
cl_3218	ENSG00000073756 ENSG00000148773 ENSG00000173039	2	3	PTGS2
cl_3218	ENSG00000073756 ENSG00000148773 ENSG00000173039	2	3	MKI67
cl_3218	ENSG00000073756 ENSG00000148773 ENSG00000173039	2	3	RELA
cl_3219	ENSG00000087088 ENSG00000141510 ENSG00000143384 ENSG00000143799 ENSG00000171791	2	5	BAX
cl_3219	ENSG00000087088 ENSG00000141510 ENSG00000143384 ENSG00000143799 ENSG00000171791	2	5	TP53
cl_3219	ENSG00000087088 ENSG00000141510 ENSG00000143384 ENSG00000143799 ENSG00000171791	2	5	MCL1
cl_3219	ENSG00000087088 ENSG00000141510 ENSG00000143384 ENSG00000143799 ENSG00000171791	2	5	PARP1
cl_3219	ENSG00000087088 ENSG00000141510 ENSG00000143384 ENSG00000143799 ENSG00000171791	2	5	BCL2
cl_3220	ENSG00000073756 ENSG00000141736 ENSG00000146648 ENSG00000178568	2	4	PTGS2
cl_3220	ENSG00000073756 ENSG00000141736 ENSG00000146648 ENSG00000178568	2	4	ERBB2
cl_3220	ENSG00000073756 ENSG00000141736 ENSG00000146648 ENSG00000178568	2	4	EGFR
cl_3220	ENSG00000073756 ENSG00000141736 ENSG00000146648 ENSG00000178568	2	4	ERBB4
cl_3221	ENSG00000073756 ENSG00000141736 ENSG00000146648 ENSG00000171791	2	4	PTGS2
cl_3221	ENSG00000073756 ENSG00000141736 ENSG00000146648 ENSG00000171791	2	4	ERBB2
cl_3221	ENSG00000073756 ENSG00000141736 ENSG00000146648 ENSG00000171791	2	4	EGFR
cl_3221	ENSG00000073756 ENSG00000141736 ENSG00000146648 ENSG00000171791	2	4	BCL2
cl_3222	ENSG00000087088 ENSG00000141510 ENSG00000168610	2	3	BAX
cl_3222	ENSG00000087088 ENSG00000141510 ENSG00000168610	2	3	TP53
cl_3222	ENSG00000087088 ENSG00000141510 ENSG00000168610	2	3	STAT3
cl_3223	ENSG00000121858 ENSG00000142208 ENSG00000171552 ENSG00000171791 ENSG00000171862	2	5	TNFSF10
cl_3223	ENSG00000121858 ENSG00000142208 ENSG00000171552 ENSG00000171791 ENSG00000171862	2	5	AKT1
cl_3223	ENSG00000121858 ENSG00000142208 ENSG00000171552 ENSG00000171791 ENSG00000171862	2	5	BCL2L1
cl_3223	ENSG00000121858 ENSG00000142208 ENSG00000171552 ENSG00000171791 ENSG00000171862	2	5	BCL2
cl_3223	ENSG00000121858 ENSG00000142208 ENSG00000171552 ENSG00000171791 ENSG00000171862	2	5	PTEN
cl_3224	ENSG00000087088 ENSG00000141736 ENSG00000143799 ENSG00000171791	2	4	BAX
cl_3224	ENSG00000087088 ENSG00000141736 ENSG00000143799 ENSG00000171791	2	4	ERBB2
cl_3224	ENSG00000087088 ENSG00000141736 ENSG00000143799 ENSG00000171791	2	4	PARP1
cl_3224	ENSG00000087088 ENSG00000141736 ENSG00000143799 ENSG00000171791	2	4	BCL2
cl_3225	ENSG00000073756 ENSG00000138685 ENSG00000138798	2	3	PTGS2
cl_3225	ENSG00000073756 ENSG00000138685 ENSG00000138798	2	3	FGF2
cl_3225	ENSG00000073756 ENSG00000138685 ENSG00000138798	2	3	EGF
cl_3226	ENSG00000087088 ENSG00000141736 ENSG00000142208 ENSG00000171791	2	4	BAX
cl_3226	ENSG00000087088 ENSG00000141736 ENSG00000142208 ENSG00000171791	2	4	ERBB2
cl_3226	ENSG00000087088 ENSG00000141736 ENSG00000142208 ENSG00000171791	2	4	AKT1
cl_3226	ENSG00000087088 ENSG00000141736 ENSG00000142208 ENSG00000171791	2	4	BCL2
cl_3227	ENSG00000073756 ENSG00000138798 ENSG00000142208	2	3	PTGS2
cl_3227	ENSG00000073756 ENSG00000138798 ENSG00000142208	2	3	EGF
cl_3227	ENSG00000073756 ENSG00000138798 ENSG00000142208	2	3	AKT1
cl_3228	ENSG00000087088 ENSG00000141646 ENSG00000171791	2	3	BAX
cl_3228	ENSG00000087088 ENSG00000141646 ENSG00000171791	2	3	SMAD4
cl_3228	ENSG00000087088 ENSG00000141646 ENSG00000171791	2	3	BCL2
